Business Name,Zip Code,License Number,License Type,City
A TO Z WINEWORKS LLC,971326966,158858,22S,NEWBERG
A.R.T. LLC,993627308,273153,22S,WALLA WALLA
A.V. BRANDS, INC.,954769779,262853,LS,SONOMA
A.V.V. WINERY COMPANY LLC,954489642,147198,22S,HEALDSBURG
ABIGAIL ADAMS WINE CO.,945991369,274522,22S,YOUNTVILLE
ABITA BREWING COMPANY LLC,704200000,231298,22S,ABITA SPRINGS
ACCOLADE BRANDS INC.,916075930,270052,22S,STUDIO CITY
ACKERMAN FAMILY VINEYARDS LLC,945593874,280616,22S,NAPA
ACKLEY BRANDS LTD.,971168516,238512,22S,FOREST GROVE
ADAM PUCHTA & SON WINE COMPANY,650414103,57174,DOMW,HERMANN
ADVANTAGE INTERNATIONAL DISTRIBUTORS INC,331722636,239878,This is a juicy error,LS,DORAL
AGAINST THE GRAIN, LLC,402021110,267528,22S,LOUISVILLE
AGAVES LLC,64029,269833,LS,GRAIN VALLEY
AHA PARTNERS LLC,945089606,259181,22S,ANGWIN
AHA TORO SPIRITS INC.,981342029,267433,LS,SEATTLE
AHTEL WINES LLC,030550000,273457,22S,MILFORD
AI BOTTLING LLC,647351506,270503,LMS,CLINTON
"AIKO IMPORTERS INC.,29406,201556,LS;CHARLESTON"
AKA WINES LLC,954762805,261847,22S,SONOMA
ALAMBIC INC.,954826969,163289,LS,UKIAH
ALANI SELTZER LLC,402582880,277416,5S,LOUISVILLE
ALASKAN BREWING LLC,998019540,252677,22S,JUNEAU
ALBERT BICHOT USA, LLC,232331028,281335,22S,HENRICO
ALBONEE COUNTRY INN & VINEYARDS LLC,640573005,168129,DOMW,INDEPENDENCE
ALL BRAZILIAN IMPORT & EXPORT INC.,333228902,281719,LS,FORT LAUDERDALE
ALL STAR WINE IMPORTS LLC,44103,280501,22S,CLEVELAND
ALLIED IMPORTERS USA LTD.,112051072,163603,22S,BROOKLYN
ALLTECH'S BEVERAGE DIVISION, LLC,405082806,272896,LS,LEXINGTON
ALMA MADER, LLC,641082346,259367,22,MS,KANSAS CITY
ALPHA & OMEGA WINERY LLC,945730000,238992,22S,RUTHERFORD
ALPHA MARKETING NETWORK,331695714,203348,22S,MIAMI
ALPHABETA BREWERY LLC,631161802,248327,22MS,ST. LOUIS
ALTA WINES LLC,945586187,244700,22S,NAPA
ALTAMAR BRANDS LLC,926251928,215828,LS,CORONA DEL MAR
AMAVI, L.L.C.,993627007,279618,22S,WALLA WALLA
AMERICAN BEVERAGE CORPORATION,154141135,229608,LS,VERONA
AMERICAN ESTATES WINES INC.,079011904,152456,22S,SUMMIT
AMERICAN OUTLAW SPIRITS INC.,382591501,253048,LS,TRIMBLE
AMERICAN VINTAGE BEVERAGE INC.,606615644,223237,LS,CHICAGO
AMERISTAR CASINO KANSAS CITY LLC,64161,261063,MICB,KANSAS CITY
AMICI CELLARS INC.,945159728,226321,22S,CALISTOGA
AMICUS CELLARS II LLC,945586187,265377,22S,NAPA
AMPHORA IMPORTS LLC,554322515,270571,22S,FRIDLEY
ANDERS-LANE ARTISAN WINES LP,950373201,178188,22S,MORGAN HILL
ANDERSON'S CONN VALLEY WINERY, INC.,945749646,185613,22S,ST. HELENA
ANGRY SWEDE BREWING COMPANY, THE,645011705,268832,MICB,ST. JOSEPH
